# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into A^2\Pi state of OCS^+  
# Gamma data on a grid Gamma(R, theta) 
# Theta points correspond to 7-point Gauss-Lobatto quadrature 
# All data are in atomic units (Bohr / Hartree)
# For R > 15 a.u., Gamma should be assumed 0       
# 
#   R     Gamma(R, theta)       
# theta = 0.0
  6.05    7.031E-03 
  6.43    2.819E-03 
  6.80    1.130E-03 
  7.18    4.531E-04 
  7.56    1.817E-04 
  7.94    7.284E-05 
  8.31    2.920E-05 
  8.69    1.171E-05 
  9.07    4.694E-06 
  9.45    1.882E-06 
  9.83    7.545E-07 
 10.20    3.025E-07 
 10.58    1.213E-07 
 10.96    4.863E-08 
 11.34    1.950E-08 
 11.72    7.816E-09 
 12.09    3.134E-09 
 12.47    1.256E-09 
 12.85    5.037E-10 
 13.23    2.020E-10 
 13.61    8.097E-11 
 13.98    3.246E-11 
 14.36    1.302E-11 
 14.74    5.218E-12 
 15.12    2.092E-12 
#
# theta = 33.8783 
  6.05    1.099E-02 
  6.43    5.216E-03 
  6.80    2.437E-03 
  7.18    1.122E-03 
  7.56    5.088E-04 
  7.94    2.273E-04 
  8.31    1.000E-04 
  8.69    4.334E-05 
  9.07    1.850E-05 
  9.45    7.781E-06 
  9.83    3.223E-06 
 10.20    1.315E-06 
 10.58    5.287E-07 
 10.96    2.093E-07 
 11.34    8.163E-08 
 11.72    3.136E-08 
 12.09    1.187E-08 
 12.47    4.424E-09 
 12.85    1.624E-09 
 13.23    5.875E-10 
 13.61    2.093E-10 
 13.98    7.345E-11 
 14.36    2.539E-11 
 14.74    8.646E-12 
 15.12    2.900E-12 
#
# theta = 62.0404 
  6.05    1.474E-03 
  6.43    7.334E-04 
  6.80    3.581E-04 
  7.18    1.716E-04 
  7.56    8.074E-05 
  7.94    3.729E-05 
  8.31    1.690E-05 
  8.69    7.520E-06 
  9.07    3.284E-06 
  9.45    1.408E-06 
  9.83    5.925E-07 
 10.20    2.448E-07 
 10.58    9.924E-08 
 10.96    3.950E-08 
 11.34    1.543E-08 
 11.72    5.917E-09 
 12.09    2.227E-09 
 12.47    8.230E-10 
 12.85    2.985E-10 
 13.23    1.063E-10 
 13.61    3.714E-11 
 13.98    1.274E-11 
 14.36    4.289E-12 
 14.74    1.418E-12 
 15.12    4.599E-13 
#
# theta = 90.0
  6.05    4.635E-04 
  6.43    1.929E-04 
  6.80    8.050E-05 
  7.18    3.366E-05 
  7.56    1.411E-05 
  7.94    5.926E-06 
  8.31    2.495E-06 
  8.69    1.053E-06 
  9.07    4.451E-07 
  9.45    1.886E-07 
  9.83    8.012E-08 
 10.20    3.411E-08 
 10.58    1.455E-08 
 10.96    6.223E-09 
 11.34    2.667E-09 
 11.72    1.146E-09 
 12.09    4.932E-10 
 12.47    2.128E-10 
 12.85    9.201E-11 
 13.23    3.987E-11 
 13.61    1.732E-11 
 13.98    7.540E-12 
 14.36    3.290E-12 
 14.74    1.438E-12 
 15.12    6.304E-13 
#
# theta = 117.96 
  6.05    3.853E-04 
  6.43    1.711E-04 
  6.80    7.598E-05 
  7.18    3.374E-05 
  7.56    1.498E-05 
  7.94    6.654E-06 
  8.31    2.955E-06 
  8.69    1.312E-06 
  9.07    5.828E-07 
  9.45    2.588E-07 
  9.83    1.149E-07 
 10.20    5.104E-08 
 10.58    2.267E-08 
 10.96    1.007E-08 
 11.34    4.470E-09 
 11.72    1.985E-09 
 12.09    8.816E-10 
 12.47    3.915E-10 
 12.85    1.739E-10 
 13.23    7.721E-11 
 13.61    3.429E-11 
 13.98    1.523E-11 
 14.36    6.762E-12 
 14.74    3.003E-12 
 15.12    1.334E-12 
#
# theta = 146.122 
  6.05    1.105E-03 
  6.43    4.810E-04 
  6.80    2.094E-04 
  7.18    9.117E-05 
  7.56    3.969E-05 
  7.94    1.728E-05 
  8.31    7.524E-06 
  8.69    3.276E-06 
  9.07    1.426E-06 
  9.45    6.209E-07 
  9.83    2.703E-07 
 10.20    1.177E-07 
 10.58    5.124E-08 
 10.96    2.231E-08 
 11.34    9.712E-09 
 11.72    4.228E-09 
 12.09    1.841E-09 
 12.47    8.015E-10 
 12.85    3.489E-10 
 13.23    1.519E-10 
 13.61    6.614E-11 
 13.98    2.880E-11 
 14.36    1.254E-11 
 14.74    5.458E-12 
 15.12    2.376E-12 
#
# theta = 180.0
  6.05    7.563E-05  
  6.43    3.349E-05  
  6.80    1.483E-05  
  7.18    6.565E-06  
  7.56    2.907E-06  
  7.94    1.287E-06  
  8.31    5.700E-07  
  8.69    2.524E-07  
  9.07    1.117E-07  
  9.45    4.948E-08  
  9.83    2.191E-08  
 10.20    9.701E-09  
 10.58    4.295E-09  
 10.96    1.902E-09  
 11.34    8.422E-10  
 11.72    3.729E-10  
 12.09    1.651E-10  
 12.47    7.311E-11  
 12.85    3.237E-11  
 13.23    1.433E-11  
 13.61    6.347E-12  
 13.98    2.810E-12  
 14.36    1.244E-12  
 14.74    5.510E-13  
 15.12    2.440E-13  
