# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into B^2\Sigma^+ state of OCS^+  
# Gamma data on a grid Gamma(R, theta) 
# Theta points correspond to 7-point Gauss-Lobatto quadrature 
# All data are in atomic units (Bohr / Hartree)
# 
#   R     Gamma(r, theta)       
# theta = 0.0
  6.05    2.244E-02
  6.43    1.037E-02
  6.80    4.791E-03
  7.18    2.214E-03
  7.56    1.023E-03
  7.94    4.727E-04
  8.31    2.184E-04
  8.69    1.009E-04
  9.07    4.663E-05
  9.45    2.155E-05
  9.83    9.956E-06
 10.20    4.601E-06
 10.58    2.126E-06
 10.96    9.823E-07
 11.34    4.539E-07
 11.72    2.097E-07
 12.09    9.691E-08
 12.47    4.478E-08
 12.85    2.069E-08
 13.23    9.560E-09
 13.61    4.418E-09
 13.98    2.041E-09
 14.36    9.432E-10
 14.74    4.358E-10
 15.12    2.014E-10
#
# theta = 33.8783 
  6.05    3.360E-04
  6.43    2.667E-04
  6.80    1.961E-04
  7.18    1.336E-04
  7.56    8.430E-05
  7.94    4.929E-05
  8.31    2.670E-05
  8.69    1.340E-05
  9.07    6.228E-06
  9.45    2.682E-06
  9.83    1.070E-06
 10.20    3.957E-07
 10.58    1.355E-07
 10.96    4.300E-08
 11.34    1.264E-08
 11.72    3.442E-09
 12.09    8.683E-10
 12.47    2.030E-10
 12.85    4.395E-11
 13.23    8.816E-12
 13.61    1.639E-12
 13.98    2.821E-13
 14.36    4.501E-14
 14.74    6.651E-15
 15.12    9.106E-16
#
# theta = 62.0404 
  6.05    4.384E-05   
  6.43    2.053E-05   
  6.80    9.618E-06   
  7.18    4.505E-06   
  7.56    2.110E-06   
  7.94    9.884E-07   
  8.31    4.629E-07   
  8.69    2.168E-07   
  9.07    1.016E-07   
  9.45    4.757E-08   
  9.83    2.228E-08   
 10.20    1.044E-08   
 10.58    4.889E-09   
 10.96    2.290E-09   
 11.34    1.073E-09   
 11.72    5.024E-10   
 12.09    2.353E-10   
 12.47    1.102E-10   
 12.85    5.162E-11   
 13.23    2.418E-11   
 13.61    1.133E-11   
 13.98    5.305E-12   
 14.36    2.485E-12   
 14.74    1.164E-12   
 15.12    5.451E-13   
#
# theta = 90.0
  6.05    6.305E-07
  6.43    3.257E-07
  6.80    1.683E-07
  7.18    8.692E-08
  7.56    4.490E-08
  7.94    2.320E-08
  8.31    1.198E-08
  8.69    6.190E-09
  9.07    3.198E-09
  9.45    1.652E-09
  9.83    8.534E-10
 10.20    4.409E-10
 10.58    2.277E-10
 10.96    1.177E-10
 11.34    6.078E-11
 11.72    3.140E-11
 12.09    1.622E-11
 12.47    8.379E-12
 12.85    4.329E-12
 13.23    2.236E-12
 13.61    1.155E-12
 13.98    5.968E-13
 14.36    3.083E-13
 14.74    1.593E-13
 15.12    8.227E-14
#
# theta = 117.96 
  6.05    3.738E-04
  6.43    1.849E-04
  6.80    9.144E-05
  7.18    4.523E-05
  7.56    2.237E-05
  7.94    1.106E-05
  8.31    5.472E-06
  8.69    2.706E-06
  9.07    1.339E-06
  9.45    6.621E-07
  9.83    3.275E-07
 10.20    1.620E-07
 10.58    8.010E-08
 10.96    3.962E-08
 11.34    1.960E-08
 11.72    9.692E-09
 12.09    4.794E-09
 12.47    2.371E-09
 12.85    1.173E-09
 13.23    5.800E-10
 13.61    2.869E-10
 13.98    1.419E-10
 14.36    7.017E-11
 14.74    3.471E-11
 15.12    1.717E-11
#
# theta = 146.122 
  6.05    5.517E-03
  6.43    2.631E-03
  6.80    1.254E-03
  7.18    5.982E-04
  7.56    2.853E-04
  7.94    1.360E-04
  8.31    6.486E-05
  8.69    3.093E-05
  9.07    1.475E-05
  9.45    7.033E-06
  9.83    3.354E-06
 10.20    1.599E-06
 10.58    7.626E-07
 10.96    3.637E-07
 11.34    1.734E-07
 11.72    8.269E-08
 12.09    3.943E-08
 12.47    1.880E-08
 12.85    8.966E-09
 13.23    4.276E-09
 13.61    2.039E-09
 13.98    9.722E-10
 14.36    4.636E-10
 14.74    2.211E-10
 15.12    1.054E-10
#
# theta = 180.0
  6.05    2.484E-02 
  6.43    1.137E-02 
  6.80    5.202E-03 
  7.18    2.381E-03 
  7.56    1.090E-03 
  7.94    4.986E-04 
  8.31    2.282E-04 
  8.69    1.044E-04 
  9.07    4.780E-05 
  9.45    2.187E-05 
  9.83    1.001E-05 
 10.20    4.581E-06 
 10.58    2.097E-06 
 10.96    9.596E-07 
 11.34    4.391E-07 
 11.72    2.010E-07 
 12.09    9.198E-08 
 12.47    4.209E-08 
 12.85    1.926E-08 
 13.23    8.816E-09 
 13.61    4.035E-09 
 13.98    1.846E-09 
 14.36    8.451E-10 
 14.74    3.867E-10 
 15.12    1.770E-10 
