# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into A^2\Pi state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)
# For R > 15 a.u., Gamma should be assumed 0       
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
  5.71    4.628E-03   -8.181E-03    9.305E-03   -4.708E-03   -1.175E-03   
  5.78    4.025E-03   -7.142E-03    8.076E-03   -4.021E-03   -1.149E-03   
  5.86    3.431E-03   -6.112E-03    6.866E-03   -3.358E-03   -1.098E-03   
  5.93    2.983E-03   -5.331E-03    5.956E-03   -2.867E-03   -1.042E-03   
  6.01    2.541E-03   -4.557E-03    5.061E-03   -2.394E-03   -9.686E-04   
  6.08    2.207E-03   -3.971E-03    4.387E-03   -2.044E-03   -9.010E-04   
  6.16    1.879E-03   -3.391E-03    3.725E-03   -1.705E-03   -8.226E-04   
  6.24    1.599E-03   -2.894E-03    3.162E-03   -1.423E-03   -7.453E-04   
  6.31    1.388E-03   -2.519E-03    2.739E-03   -1.214E-03   -6.799E-04   
  6.39    1.180E-03   -2.147E-03    2.323E-03   -1.013E-03   -6.090E-04   
  6.46    1.023E-03   -1.867E-03    2.010E-03   -8.643E-04   -5.507E-04   
  6.54    8.694E-04   -1.590E-03    1.704E-03   -7.207E-04   -4.888E-04   
  6.61    7.535E-04   -1.381E-03    1.473E-03   -6.146E-04   -4.390E-04   
  6.69    6.396E-04   -1.174E-03    1.248E-03   -5.123E-04   -3.868E-04   
  6.77    5.426E-04   -9.983E-04    1.056E-03   -4.269E-04   -3.397E-04   
  6.84    4.697E-04   -8.656E-04    9.121E-04   -3.639E-04   -3.025E-04   
  6.92    3.982E-04   -7.350E-04    7.713E-04   -3.031E-04   -2.642E-04   
  6.99    3.444E-04   -6.367E-04    6.657E-04   -2.582E-04   -2.342E-04   
  7.07    2.917E-04   -5.399E-04    5.624E-04   -2.150E-04   -2.036E-04   
  7.14    2.521E-04   -4.672E-04    4.851E-04   -1.831E-04   -1.798E-04   
  7.22    2.133E-04   -3.957E-04    4.094E-04   -1.524E-04   -1.557E-04   
  7.29    1.842E-04   -3.421E-04    3.528E-04   -1.297E-04   -1.370E-04   
  7.37    1.557E-04   -2.894E-04    2.975E-04   -1.079E-04   -1.182E-04   
  7.45    1.315E-04   -2.447E-04    2.507E-04   -8.969E-05   -1.017E-04   
  7.52    1.134E-04   -2.111E-04    2.158E-04   -7.630E-05   -8.912E-05   
  7.60    9.570E-05   -1.783E-04    1.817E-04   -6.341E-05   -7.649E-05   
  7.67    8.245E-05   -1.537E-04    1.562E-04   -5.392E-05   -6.683E-05   
  7.75    6.951E-05   -1.296E-04    1.314E-04   -4.478E-05   -5.719E-05   
  7.82    5.983E-05   -1.116E-04    1.129E-04   -3.806E-05   -4.984E-05   
  7.90    5.039E-05   -9.397E-05    9.483E-05   -3.160E-05   -4.254E-05   
