# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into B^2\Sigma^+ state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
  5.71    3.977E-03    4.132E-03    1.529E-02    2.316E-03    1.820E-02 
  5.78    3.422E-03    3.542E-03    1.313E-02    1.968E-03    1.556E-02 
  5.86    2.946E-03    3.034E-03    1.128E-02    1.671E-03    1.330E-02 
  5.93    2.536E-03    2.599E-03    9.687E-03    1.418E-03    1.137E-02 
  6.01    2.183E-03    2.224E-03    8.322E-03    1.203E-03    9.716E-03 
  6.08    1.880E-03    1.903E-03    7.150E-03    1.020E-03    8.303E-03 
  6.16    1.620E-03    1.627E-03    6.145E-03    8.637E-04    7.095E-03 
  6.24    1.396E-03    1.391E-03    5.282E-03    7.311E-04    6.062E-03 
  6.31    1.203E-03    1.188E-03    4.540E-03    6.183E-04    5.179E-03 
  6.39    1.037E-03    1.014E-03    3.904E-03    5.225E-04    4.425E-03 
  6.46    8.943E-04    8.646E-04    3.357E-03    4.411E-04    3.780E-03 
  6.54    7.713E-04    7.369E-04    2.888E-03    3.721E-04    3.228E-03 
  6.61    6.655E-04    6.277E-04    2.485E-03    3.135E-04    2.757E-03 
  6.69    5.743E-04    5.343E-04    2.138E-03    2.639E-04    2.354E-03 
  6.77    4.957E-04    4.545E-04    1.840E-03    2.219E-04    2.010E-03 
  6.84    4.280E-04    3.863E-04    1.584E-03    1.864E-04    1.717E-03 
  6.92    3.696E-04    3.282E-04    1.363E-03    1.564E-04    1.465E-03 
  6.99    3.192E-04    2.786E-04    1.174E-03    1.311E-04    1.251E-03 
  7.07    2.757E-04    2.363E-04    1.011E-03    1.097E-04    1.068E-03 
  7.14    2.382E-04    2.004E-04    8.708E-04    9.171E-05    9.114E-04 
  7.22    2.058E-04    1.698E-04    7.501E-04    7.658E-05    7.779E-04 
  7.29    1.779E-04    1.438E-04    6.462E-04    6.387E-05    6.638E-04 
  7.37    1.537E-04    1.217E-04    5.567E-04    5.321E-05    5.665E-04 
  7.45    1.329E-04    1.030E-04    4.796E-04    4.427E-05    4.834E-04 
  7.52    1.148E-04    8.718E-05    4.132E-04    3.680E-05    4.125E-04 
  7.60    9.923E-05    7.376E-05    3.560E-04    3.056E-05    3.519E-04 
  7.67    8.575E-05    6.240E-05    3.067E-04    2.535E-05    3.003E-04 
  7.75    7.409E-05    5.279E-05    2.642E-04    2.102E-05    2.562E-04 
  7.82    6.401E-05    4.468E-05    2.276E-04    1.741E-05    2.186E-04 
  7.90    5.529E-05    3.783E-05    1.960E-04    1.442E-05    1.865E-04 
  7.97    4.775E-05    3.205E-05    1.688E-04    1.193E-05    1.592E-04 
  8.05    4.122E-05    2.717E-05    1.453E-04    9.876E-06    1.358E-04 
  8.13    3.558E-05    2.306E-05    1.251E-04    8.176E-06    1.159E-04 
  8.20    3.070E-05    1.959E-05    1.076E-04    6.772E-06    9.891E-05 
  8.28    2.648E-05    1.666E-05    9.262E-05    5.613E-06    8.443E-05 
  8.35    2.283E-05    1.420E-05    7.967E-05    4.657E-06    7.207E-05 
  8.43    1.968E-05    1.211E-05    6.850E-05    3.870E-06    6.153E-05 
  8.50    1.695E-05    1.035E-05    5.889E-05    3.221E-06    5.253E-05 
  8.58    1.460E-05    8.867E-06    5.060E-05    2.688E-06    4.486E-05 
  8.65    1.257E-05    7.607E-06    4.347E-05    2.248E-06    3.832E-05 
  8.73    1.081E-05    6.540E-06    3.733E-05    1.885E-06    3.273E-05 
  8.81    9.298E-06    5.634E-06    3.204E-05    1.586E-06    2.796E-05 
  8.88    7.992E-06    4.864E-06    2.750E-05    1.339E-06    2.390E-05 
  8.96    6.867E-06    4.207E-06    2.359E-05    1.134E-06    2.042E-05 
