# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into X^2\Pi state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)   
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
  5.71    7.817E-04    5.584E-04    9.167E-04   -1.192E-03    7.681E-05 
  5.78    7.001E-04    5.140E-04    8.128E-04   -1.043E-03    1.501E-05 
  5.86    6.271E-04    4.720E-04    7.217E-04   -9.133E-04   -3.204E-05 
  5.93    5.616E-04    4.325E-04    6.415E-04   -7.999E-04   -6.711E-05 
  6.01    5.030E-04    3.955E-04    5.708E-04   -7.009E-04   -9.254E-05 
  6.08    4.504E-04    3.610E-04    5.085E-04   -6.144E-04   -1.102E-04 
  6.16    4.033E-04    3.289E-04    4.533E-04   -5.386E-04   -1.217E-04 
  6.24    3.610E-04    2.993E-04    4.044E-04   -4.724E-04   -1.284E-04 
  6.31    3.231E-04    2.719E-04    3.610E-04   -4.144E-04   -1.312E-04 
  6.39    2.891E-04    2.467E-04    3.224E-04   -3.635E-04   -1.311E-04 
  6.46    2.586E-04    2.235E-04    2.881E-04   -3.190E-04   -1.288E-04 
  6.54    2.313E-04    2.023E-04    2.574E-04   -2.799E-04   -1.248E-04 
  6.61    2.067E-04    1.829E-04    2.301E-04   -2.456E-04   -1.197E-04 
  6.69    1.847E-04    1.652E-04    2.057E-04   -2.155E-04   -1.137E-04 
  6.77    1.650E-04    1.490E-04    1.839E-04   -1.892E-04   -1.073E-04 
  6.84    1.473E-04    1.343E-04    1.644E-04   -1.660E-04   -1.005E-04 
  6.92    1.315E-04    1.210E-04    1.469E-04   -1.456E-04   -9.368E-05 
  6.99    1.173E-04    1.089E-04    1.312E-04   -1.278E-04   -8.687E-05 
  7.07    1.046E-04    9.791E-05    1.172E-04   -1.121E-04   -8.022E-05 
  7.14    9.321E-05    8.798E-05    1.047E-04   -9.831E-05   -7.379E-05 
  7.22    8.303E-05    7.899E-05    9.339E-05   -8.621E-05   -6.763E-05 
  7.29    7.391E-05    7.088E-05    8.330E-05   -7.558E-05   -6.180E-05 
  7.37    6.576E-05    6.356E-05    7.427E-05   -6.624E-05   -5.630E-05 
  7.45    5.848E-05    5.695E-05    6.617E-05   -5.804E-05   -5.116E-05 
  7.52    5.197E-05    5.100E-05    5.891E-05   -5.084E-05   -4.637E-05 
  7.60    4.616E-05    4.565E-05    5.242E-05   -4.452E-05   -4.194E-05 
  7.67    4.098E-05    4.083E-05    4.661E-05   -3.898E-05   -3.784E-05 
  7.75    3.635E-05    3.650E-05    4.141E-05   -3.411E-05   -3.408E-05 
  7.82    3.223E-05    3.260E-05    3.676E-05   -2.984E-05   -3.063E-05 
  7.90    2.856E-05    2.911E-05    3.261E-05   -2.609E-05   -2.749E-05 
  7.97    2.529E-05    2.598E-05    2.890E-05   -2.281E-05   -2.462E-05 
  8.05    2.237E-05    2.317E-05    2.559E-05   -1.993E-05   -2.202E-05 
  8.13    1.979E-05    2.065E-05    2.264E-05   -1.740E-05   -1.966E-05 
  8.20    1.749E-05    1.839E-05    2.002E-05   -1.519E-05   -1.752E-05 
  8.28    1.544E-05    1.638E-05    1.768E-05   -1.326E-05   -1.560E-05 
  8.35    1.363E-05    1.457E-05    1.560E-05   -1.156E-05   -1.386E-05 
  8.43    1.202E-05    1.296E-05    1.375E-05   -1.008E-05   -1.231E-05 
  8.50    1.060E-05    1.152E-05    1.211E-05   -8.787E-06   -1.091E-05 
  8.58    9.333E-06    1.023E-05    1.065E-05   -7.654E-06   -9.660E-06 
  8.65    8.215E-06    9.079E-06    9.361E-06   -6.664E-06   -8.542E-06 
  8.73    7.227E-06    8.055E-06    8.219E-06   -5.799E-06   -7.544E-06 
  8.81    6.353E-06    7.142E-06    7.209E-06   -5.045E-06   -6.655E-06 
  8.88    5.581E-06    6.328E-06    6.317E-06   -4.386E-06   -5.863E-06 
  8.96    4.899E-06    5.604E-06    5.529E-06   -3.812E-06   -5.160E-06 
  9.03    4.298E-06    4.959E-06    4.835E-06   -3.312E-06   -4.536E-06 
