# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
  5.71    4.462E-02    2.566E-02    1.150E-01    4.819E-02    7.415E-02 
  5.78    4.055E-02    2.319E-02    1.044E-01    4.258E-02    6.629E-02 
  5.86    3.676E-02    2.088E-02    9.440E-02    3.744E-02    5.899E-02 
  5.93    3.324E-02    1.871E-02    8.508E-02    3.276E-02    5.226E-02 
  6.01    2.999E-02    1.671E-02    7.643E-02    2.854E-02    4.611E-02 
  6.08    2.700E-02    1.487E-02    6.846E-02    2.476E-02    4.055E-02 
  6.16    2.426E-02    1.319E-02    6.118E-02    2.142E-02    3.559E-02 
  6.24    2.178E-02    1.166E-02    5.459E-02    1.853E-02    3.123E-02 
  6.31    1.953E-02    1.031E-02    4.868E-02    1.606E-02    2.747E-02 
  6.39    1.752E-02    9.113E-03    4.344E-02    1.400E-02    2.428E-02 
  6.46    1.572E-02    8.074E-03    3.883E-02    1.232E-02    2.164E-02 
  6.54    1.412E-02    7.181E-03    3.481E-02    1.099E-02    1.952E-02 
  6.61    1.270E-02    6.424E-03    3.133E-02    9.978E-03    1.785E-02 
  6.69    1.145E-02    5.796E-03    2.832E-02    9.231E-03    1.658E-02 
  6.77    1.033E-02    5.272E-03    2.573E-02    8.707E-03    1.563E-02 
  6.84    9.345E-03    4.839E-03    2.347E-02    8.343E-03    1.493E-02 
  6.92    8.461E-03    4.470E-03    2.151E-02    8.083E-03    1.440E-02 
  6.99    7.673E-03    4.147E-03    1.977E-02    7.878E-03    1.395E-02 
  7.07    6.958E-03    3.848E-03    1.819E-02    7.673E-03    1.352E-02 
  7.14    6.306E-03    3.558E-03    1.674E-02    7.427E-03    1.305E-02 
  7.22    5.705E-03    3.263E-03    1.538E-02    7.122E-03    1.251E-02 
  7.29    5.153E-03    2.959E-03    1.410E-02    6.739E-03    1.188E-02 
  7.37    4.643E-03    2.646E-03    1.287E-02    6.288E-03    1.115E-02 
  7.45    4.169E-03    2.326E-03    1.171E-02    5.773E-03    1.035E-02 
  7.52    3.729E-03    2.004E-03    1.059E-02    5.212E-03    9.495E-03 
  7.60    3.322E-03    1.689E-03    9.532E-03    4.629E-03    8.607E-03 
  7.67    2.947E-03    1.386E-03    8.543E-03    4.044E-03    7.718E-03 
  7.75    2.605E-03    1.103E-03    7.627E-03    3.475E-03    6.857E-03 
  7.82    2.293E-03    8.466E-04    6.789E-03    2.940E-03    6.042E-03 
  7.90    2.012E-03    6.206E-04    6.028E-03    2.454E-03    5.294E-03 
  7.97    1.759E-03    4.263E-04    5.354E-03    2.025E-03    4.620E-03 
  8.05    1.533E-03    2.634E-04    4.752E-03    1.653E-03    4.022E-03 
  8.13    1.332E-03    1.294E-04    4.225E-03    1.335E-03    3.500E-03 
  8.20    1.153E-03    2.062E-05    3.760E-03    1.066E-03    3.045E-03 
  8.28    9.928E-04   -6.689E-05    3.349E-03    8.388E-04    2.647E-03 
  8.35    8.502E-04   -1.366E-04    2.987E-03    6.461E-04    2.300E-03 
  8.43    7.226E-04   -1.914E-04    2.665E-03    4.830E-04    1.995E-03 
  8.50    6.083E-04   -2.334E-04    2.379E-03    3.461E-04    1.729E-03 
  8.58    5.062E-04   -2.643E-04    2.126E-03    2.326E-04    1.498E-03 
  8.65    4.154E-04   -2.854E-04    1.901E-03    1.402E-04    1.298E-03 
  8.73    3.343E-04   -2.981E-04    1.703E-03    6.648E-05    1.126E-03 
  8.81    2.623E-04   -3.036E-04    1.528E-03    9.090E-06    9.805E-04 
