# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into X^2\Pi state of OCS^+  
# Gamma data on a grid Gamma(R, theta) 
# Theta points correspond to 7-point Gauss-Lobatto quadrature 
# All data are in atomic units (Bohr / Hartree)
# 
#   R     Gamma(r, theta)       
# theta = 0.0
  6.05    1.609E-03
  6.43    6.897E-04
  6.80    2.956E-04
  7.18    1.267E-04
  7.56    5.429E-05
  7.94    2.327E-05
  8.31    9.972E-06
  8.69    4.274E-06
  9.07    1.832E-06
  9.45    7.850E-07
  9.83    3.365E-07
 10.20    1.442E-07
 10.58    6.180E-08
 10.96    2.649E-08
 11.34    1.135E-08
 11.72    4.865E-09
 12.09    2.085E-09
 12.47    8.936E-10
 12.85    3.830E-10
 13.23    1.641E-10
 13.61    7.035E-11
 13.98    3.015E-11
 14.36    1.292E-11
 14.74    5.538E-12
 15.12    2.373E-12
#
# theta = 33.8783 
  6.05    4.315E-04  
  6.43    2.741E-04  
  6.80    1.680E-04  
  7.18    9.933E-05  
  7.56    5.668E-05  
  7.94    3.121E-05  
  8.31    1.658E-05  
  8.69    8.498E-06  
  9.07    4.204E-06  
  9.45    2.006E-06  
  9.83    9.239E-07  
 10.20    4.105E-07  
 10.58    1.760E-07  
 10.96    7.282E-08  
 11.34    2.907E-08  
 11.72    1.120E-08  
 12.09    4.162E-09  
 12.47    1.493E-09  
 12.85    5.165E-10  
 13.23    1.724E-10  
 13.61    5.556E-11  
 13.98    1.727E-11  
 14.36    5.181E-12  
 14.74    1.500E-12  
 15.12    4.188E-13  
#
# theta = 62.0404 
  6.05    2.725E-05
  6.43    1.309E-05
  6.80    6.222E-06
  7.18    2.924E-06
  7.56    1.359E-06
  7.94    6.245E-07
  8.31    2.839E-07
  8.69    1.276E-07
  9.07    5.673E-08
  9.45    2.494E-08
  9.83    1.085E-08
 10.20    4.664E-09
 10.58    1.983E-09
 10.96    8.342E-10
 11.34    3.470E-10
 11.72    1.427E-10
 12.09    5.807E-11
 12.47    2.336E-11
 12.85    9.296E-12
 13.23    3.658E-12
 13.61    1.424E-12
 13.98    5.479E-13
 14.36    2.085E-13
 14.74    7.849E-14
 15.12    2.922E-14
#
# theta = 90.0
  6.05    1.274E-04
  6.43    7.013E-05
  6.80    3.861E-05
  7.18    2.126E-05
  7.56    1.170E-05
  7.94    6.443E-06
  8.31    3.547E-06
  8.69    1.953E-06
  9.07    1.075E-06
  9.45    5.919E-07
  9.83    3.258E-07
 10.20    1.794E-07
 10.58    9.876E-08
 10.96    5.437E-08
 11.34    2.994E-08
 11.72    1.648E-08
 12.09    9.073E-09
 12.47    4.995E-09
 12.85    2.750E-09
 13.23    1.514E-09
 13.61    8.335E-10
 13.98    4.589E-10
 14.36    2.526E-10
 14.74    1.391E-10
 15.12    7.658E-11
#
# theta = 117.96 
  6.05    8.769E-04
  6.43    4.965E-04
  6.80    2.777E-04
  7.18    1.534E-04
  7.56    8.370E-05
  7.94    4.511E-05
  8.31    2.401E-05
  8.69    1.262E-05
  9.07    6.555E-06
  9.45    3.362E-06
  9.83    1.703E-06
 10.20    8.522E-07
 10.58    4.212E-07
 10.96    2.056E-07
 11.34    9.914E-08
 11.72    4.721E-08
 12.09    2.221E-08
 12.47    1.032E-08
 12.85    4.735E-09
 13.23    2.146E-09
 13.61    9.607E-10
 13.98    4.248E-10
 14.36    1.855E-10
 14.74    8.004E-11
 15.12    3.410E-11
#
# theta = 146.122 
  6.05    1.014E-03
  6.43    6.267E-04
  6.80    3.796E-04
  7.18    2.252E-04
  7.56    1.309E-04
  7.94    7.457E-05
  8.31    4.161E-05
  8.69    2.275E-05
  9.07    1.219E-05
  9.45    6.397E-06
  9.83    3.289E-06
 10.20    1.657E-06
 10.58    8.180E-07
 10.96    3.956E-07
 11.34    1.874E-07
 11.72    8.702E-08
 12.09    3.958E-08
 12.47    1.764E-08
 12.85    7.701E-09
 13.23    3.294E-09
 13.61    1.381E-09
 13.98    5.670E-10
 14.36    2.281E-10
 14.74    8.991E-11
 15.12    3.472E-11
#
# theta = 180.0
  6.05    4.776E-04 
  6.43    2.200E-04 
  6.80    1.014E-04 
  7.18    4.669E-05 
  7.56    2.151E-05 
  7.94    9.907E-06 
  8.31    4.564E-06 
  8.69    2.102E-06 
  9.07    9.684E-07 
  9.45    4.461E-07 
  9.83    2.055E-07 
 10.20    9.466E-08 
 10.58    4.361E-08 
 10.96    2.009E-08 
 11.34    9.253E-09 
 11.72    4.262E-09 
 12.09    1.963E-09 
 12.47    9.045E-10 
 12.85    4.166E-10 
 13.23    1.919E-10 
 13.61    8.841E-11 
 13.98    4.073E-11 
 14.36    1.876E-11 
 14.74    8.642E-12 
 15.12    3.981E-12 
