# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential data on a grid V(R, theta)
# Theta points correspond to 7-point Gauss-Lobatto quadrature 
# All data are in atomic units (Bohr / Hartree)
# 
#   R      V(r, theta)       
# theta = 0.0
  6.05    2.164E-01  
  6.43    1.138E-01  
  6.80    7.402E-02  
  7.18    5.996E-02  
  7.56    4.130E-02  
  7.94    2.175E-02  
  8.31    1.021E-02  
  8.69    4.476E-03  
  9.07    1.893E-03  
  9.45    7.426E-04  
  9.83    2.113E-04  
 10.20   -4.971E-05  
 10.58   -1.816E-04  
 10.96   -2.450E-04  
 11.34   -2.583E-04  
 11.72   -2.541E-04  
 12.09   -2.396E-04  
 12.47   -2.191E-04  
 12.85   -1.956E-04  
 13.23   -1.714E-04  
 13.61   -1.480E-04  
 13.98   -1.262E-04  
 14.36   -1.064E-04  
 14.74   -8.891E-05  
 15.12   -7.390E-05  
 15.50   -6.128E-05  
 15.87   -5.094E-05  
 16.25   -4.264E-05  
 16.63   -3.614E-05  
 17.01   -3.127E-05  
 17.95   -2.131E-05  
 18.90   -1.506E-05  
 19.84   -1.087E-05  
 20.79   -7.975E-06  
 21.73   -5.959E-06  
 22.68   -4.523E-06  
 23.62   -3.454E-06  
 24.57   -2.676E-06  
 25.51   -2.056E-06  
 26.46   -1.694E-06  
 27.40   -1.280E-06  
 28.35   -1.017E-06  
 30.24   -6.629E-07  
 32.13   -5.080E-07  
 34.02   -3.622E-07  
 35.90   -1.946E-07  
 37.79   -1.276E-07  
#
# theta = 33.8783 
  6.05    6.838E-02  
  6.43    4.077E-02  
  6.80    2.267E-02  
  7.18    1.172E-02  
  7.56    5.732E-03  
  7.94    2.697E-03  
  8.31    1.207E-03  
  8.69    4.686E-04  
  9.07    9.027E-05  
  9.45   -1.100E-04  
  9.83   -2.129E-04  
 10.20   -2.603E-04  
 10.58   -2.739E-04  
 10.96   -2.682E-04  
 11.34   -2.517E-04  
 11.72   -2.295E-04  
 12.09   -2.047E-04  
 12.47   -1.794E-04  
 12.85   -1.565E-04  
 13.23   -1.343E-04  
 13.61   -1.144E-04  
 13.98   -9.688E-05  
 14.36   -8.035E-05  
 14.74   -6.707E-05  
 15.12   -5.604E-05  
 15.50   -4.662E-05  
 15.87   -3.878E-05  
